pos,label
d-------- d-------- n-s---fa- r-------- n-s---fa- v--anm--- v3ppia--- n-p---mn- u-------- d-------- c-------- n-p---mn- u-------- c-------- l-p---ng- n-p---ng- a-s---na- p-s---na- v--ana--- u--------,h
r-------- d-------- p-p---na- n-p---mg- p-p---ma- u-------- d-------- d-------- v3ppia--- n-s---nn- v--anm--- u-------- v3ppia--- l-s---fg- n-s---fg- r-------- n-s---fa- v-papama- v-sfpafd- l-s---mg- n-s---mg- l-s---fa- n-s---fa- n-s---ma- u--------,h
v3ppoa--- d-------- d-------- p-p---mn- n-p---mn- u--------,h
p-p---na- d-------- d-------- a-p---na- r-------- a-p---na- p-p---md- v--anm--- u-------- r-------- c-------- p-p---na- n-p---ma- a-p---ma- l-s---fg- a-s---fg- n-s---fg- v--anm--- u--------,h
v-papama- d-------- a-s---fd- n-s---fd- r-------- n-s---mv- d-------- l-s---fa- n-s---fa- c-------- r-------- n-s---ma- n-s---ma- u-------- d-------- u-------- v-papmma- d-------- p-p---na- p-p---ng- r-------- v3plie--- u-------- v-sfpafd- l-s---mg- n-s---mg- l-s---fa- n-s---fa- n-s---fa- u--------,h
v-sapama- d-------- l-s---ma- n-p---mg- n-s---ma- r-------- l-s---fa- n-s---fa- n-s---ma- v--pna--- d-------- n-p---fa- l-s---fg- n-s---fg- c-------- v--pna--- l-s---fa- n-s---fa- u--------,h
l-p---ma- d-------- v--anm--- c-------- d-------- p-p---mn- n-s---fg- l-s---fg- a-s---fg- v3paia--- p-p---md- n-p---fa- l-s---fg- n-p---mn- u--------,h
d-------- d-------- p-p---mn- v--fna--- p-p---nd- u--------,h
a-s---fd- d-------- v3ppia--- n-s---fd- r-------- p-p---na- n-s---ma- l-s---ma- n-s---mg- u-------- v-srpama- p-p---na- u-------- v--ana--- p-s---md- r-------- l-s---fg- n-s---fg- r-------- n-s---fg- v--anm--- n-s---fa- u-------- v-sppema- d-------- c-------- d-------- v3sfia--- n-p---fa- u--------,h
d-------- d-------- p-p---ma- v--pna--- u--------,h
d-------- d-------- v-sapamg- p-s---mg- n-s---fa- u-------- l-p---md- n-p---md- v--ana--- a-s---na- v-papama- n-p---ma- v--pna--- d-------- n-s---fa- c-------- n-p---fa- l-s---fg- n-s---fg- v--pna--- u--------,h
l-p---ma- d-------- u-------- v-pppemg- p-p---na- u-------- v--pna--- p-p---md- n-s---fg- l-s---fa- n-s---fa- u-------- c-------- d-------- v-papamn- p-p---mn- n-p---fa- c-------- v-papamn- v-pppamg- v3ppoe--- p-p---md- r-------- p-p---ng- n-p---fa- v--pne--- u--------,h
r-------- d-------- d-------- p-s---ng- n-p---fa- a-p---fa- v--pna--- r-------- p-p---mg- u-------- l-s---na- c-------- r-------- p-s---ng- n-p---ma- d-------- d-------- a-p---ma- v--anm--- u--------,h
a-p---ma- d-------- v--ana--- v--pne--- r-------- l-s---fa- n-s---fa- c-------- p-p---ma- r-------- l-s---fa- n-s---fa- u--------,h
l-s---na- d-------- d-------- v--pna--- n-p---fa- n-p---mg- a-p---mg- v--pna--- n-s---na- v--pna--- u-------- l-s---na- d-------- v-pappfg- n-s---fa- v--anm--- v--pna--- a-p---mg- u-------- l-s---na- c-------- a-s---fa- n-s---fa- v--pna--- v-pappfg- a-p---mg- u--------,h
a-p---nn- d-------- d-------- c-------- u-------- c-------- d-------- p-p---fn- v3piie--- u-------- d-------- d-------- v3piie--- u--------,h
a-p---ma- d-------- d-------- l-p---ma- r-------- l-s---fg- n-s---fg- v3ppia--- n-p---mn- v-pppefg- l-p---fg- n-p---fg- n-s---ma- a-s---ma- v--anm--- u-------- n-p---ma- c-------- a-s---fg- r-------- n-s---fg- n-s---ma- a-s---ma- v--ana--- c-------- d-------- v-papama- r-------- l-s---fa- n-s---fa- l-s---fa- n-s---mg- n-s---fa- v--ana--- u--------,h
r-------- p-s---ng- d-------- v--anm--- l-s---na- a-s---na- p-p---md- v--pna--- a-s---na- u--------,h
l-s---fa- d-------- n-s---fa- c-------- l-p---na- v-pppana- n-p---na- a-p---na- v3ppie--- l-p---mn- n-p---mn- u-------- l-s---fa- c-------- n-s---fa- c-------- l-s---na- a-s---na- v3prie--- v--rnp--- u--------,h
d-------- d-------- n-p---mn- v3ppia--- v--anm--- u-------- c-------- r-------- l-s---fa- n-s---ng- n-s---fa- v3ppia--- p-p---md- v-sppafa- l-s---fa- n-s---fa- l-s---fg- n-s---fg- l-s---fg- r-------- l-p---ma- n-p---ma- u--------,h
r-------- d-------- l-s---fg- n-p---fn- d-------- v3ppia--- n-p---md- d-------- n-p---mn- u--------,h
d-------- d-------- n-s---fd- p-p---ma- v-papmma- v3ppia--- v--ana--- p-s---fa- r-------- n-s---ma- u-------- c-------- c-------- r-------- l-s---nd- n-s---nd- v3siie--- l-s---md- n-s---md- l-s---fg- n-s---mg- u--------,h
c-------- d-------- v3saia--- a-s---fn- v-sppafn- u-------- v-sppefn- l-p---ma- n-p---ma- d-------- d-------- d-------- p-s---fa- l-p---md- n-p---md- v--ana--- u-------- c-------- d-------- d-------- a-s---fn- v3sasm--- u--------,h
p-p---na- d-------- d-------- n-p---mn- d-------- c-------- n-p---mn- v3ppia--- u--------,h
p1s---mn- d-------- r-------- d-------- p-p---ng- d-------- v1spie---  c-------- d-------- c-------- d-------- d-------- p-p---nn- v3saim--- u-------- p-s---ma- c-------- v1sria--- p-s---mn- a-s---ma- v-sapama- a-p---ng- n-p---ng- r-------- l-p---ma- n-p---ma- u-------- p-s---na- v-sapamn- v1sfim--- r-------- l-s---na- d-------- l-s---mg- n-s---mg- u-------- d-------- a-p---na- c-------- a-p---na- n-p---nd- n-p---mg- v-sppamn- u--------,h
p-p---nn- d-------- l-s---na- d-------- a-d---fn- v3siia--- u-------- l-p---nn- a-d---fn- a-p---nn- p-p---ng- v3sria--- u--------,h
p-p---nn- d-------- r-------- p-s---mg- v3siia--- a-d---fn- u-------- a-s---na- v3siia--- a-p---nn- u--------,h
l-s---fa- a-s---fa- d-------- v-sppemn- n-s---fa- a-p---na- r-------- p-s---nd- v-sppafa- u-------- v1sfim--- a-p---ng- d-------- u--------,h
n-s---mn- v3siia--- n-s---mn- d-------- n-s---na- u-------- n-s---mn- d-------- n-s---mg- u-------- n-s---mn- c-------- n-p---ng- l-p---ng- r-------- n-s---fg- n-s---mg- u-------- p-s---mn- v-sppamn- r-------- n-s---fg- r-------- n-p---mg- d-------- c-------- n-p---mg- v3spia--- r-------- n-s---ma- n-s---ma- r-------- l-s---ma- n-s---ma- v-sfpmma- n-s---ma- u--------,h
a-s---mn- l-s---mn- n-s---mn- a-p---mg- a-s---mn- p-p---mg- p1p---mn- v1pria--- l-p---ma- d-------- v3saim--- n-p---mg- r-------- n-s---ng- n-s---fa- u-------- l-p---ma- c-------- n-s---ng- v3saim--- u--------,h
v3saim--- d-------- n-p---ma- d-------- d-------- n-p---ma- c-------- n-p---ma- l-p---ma- r-------- l-s---fd- n-s---fd- u-------- a-p---ma- c-------- v3saim--- a-p---ma- u--------,h
r-------- d-------- l-s---fg- n-s---mg- n-s---fg- a-p---mn- n-p---mn- v3piia--- a-p---mn- u--------,h
l-s---nn- d-------- n-p---mg- n-s---nn- l-s---nn- r-------- l-s---fa- n-s---fa- v-sapmnn- n-s---mg- v-sppann- a-s---nn- d-------- n-s---fn- v3saim--- l-p---fg- n-p---fg- c-------- r-------- n-s---fg- n-s---fn- u--------,h
l-s---fn- d-------- n-s---fn- d-------- v3saia--- u-------- v-sppafn- n-p---mg- r-------- l-s---na- n-s---na- l-s---na- n-s---mg- u-------- v-pppema- d-------- n-p---ma- u--------,h
v3siia--- n-p---mn- u-------- l-s---ma- l-p---mn- n-p---mn- n-s---ma- v3ppia--- u-------- n-s---mn- n-p---mg- u-------- a-s---mn- c-------- n-s---mg- l-s---mg- n-s---mg- u--------,h
n-s---mn- d-------- d-------- l-s---mn- n-s---mg- l-s---mg- n-s---mg- l-s---mg- n-s---mg- a-s---mn- n-p---mg- n-s---mn- v3saim--- n-p---mg- u-------- n-p---ma- c-------- l-s---mn- n-s---mg- a-s---mn- u--------,h
l-p---mn- d-------- a-s---na- n-s---mg- v-papamn- a-s---fg- l-s---fg- n-s---fg- v3piia--- a-p---mn- n-s---mg- l-s---mg- n-s---mg- u-------- r-------- p-s---mg- l-s---mn- n-s---mn- a-s---mn- v3saip--- l-s---mn- a-s---mn- a-s---mn- u-------- a-s---na- n-s---mn- v-sfpmmn- u--------,h
r-------- p-p---mg- n-p---mn- v-pappmn- v3paia--- l-s---fa- n-s---fa- r-------- n-s---ng- u-------- r-------- n-s---fg- d-------- l-s---fg- n-s---mg- v-prpamn- c-------- n-s---mn- u-------- v-papamn- d-------- r-------- m-------- d-------- c-------- m-------- n-p---fa- n-p---mg- n-p---na- m-------- d-------- c-------- a-p---na- u-------- n-s---mn- r-------- n-s---mg- v-sppemn- l-s---fa- n-s---fa- u-------- r-------- n-s---mg- l-s---mg- n-s---mg- u--------,h
a-s---mn- d-------- d-------- l-s---mn- n-p---ma- v3saip--- l-s---fg- p-s---mg- n-s---fg- u-------- v-sappmn- c-------- v3siia--- p-s---md- v--pna--- n-s---fa- a-s---na- a-p---fg- a-s---fa- u--------,h
d-------- d-------- p-p---na- v-sppamn- u-------- v3siia--- d-------- p-s---md- l-p---mg- a-p---mg- n-s---mn- l-s---mn- n-s---mg- v-sppemn- d-------- u-------- a-s---md- l-s---md- n-s---md- c-------- l-p---na- a-p---nac l-p---ng- n-p---ng- v3siie--- l-s---mn- n-p---ma- c-------- d-------- d-------- l-s---na- n-s---na- l-s---fg- n-s---fg- v-sppamn- u--------,h
n-s---mg- d-------- d-------- a-s---mg- v-sapamg- u-------- v3siia--- d-------- n-s---md- v--anm--- d-------- u-------- v3siia--- r-------- l-s---ma- n-s---ma- p-p---na- u--------,h
n-s---mv- u-------- d-------- d-------- p-s---ma- v1spia--- v--pne--- p1s---md- v-sppamd- r-------- l-s---ng- n-s---ng- l-s---fg- n-s---fg- u-------- n-p---na- d-------- v3spia--- n-p---md- v-pppana- a-p---nac n-p---mg- u-------- u-------- v2spma--- c-------- p-s---fa- v2sasm--- a-s---fa- u--------,h
p-s---mn- d-------- v-sapamn- v3saia--- n-s---mv- u-------- a-s---ma- v2spia--- n-s---ma- d-------- a-s---ma- u-------- v-sppamn- p1s---ma- n-s---fa- l-s---fa- a-s---fa- v--anm--- a-s---fa- u--------,h
r-------- d-------- n-s---md- v-sppemd- v3spie--- d-------- l-s---fa- n-s---fa- n-s---fn- u--------,h
d-------- d-------- l-p---nn- a-p---nn- n-p---md- v3sase--- u-------- r-------- p-p---ng- v--pna--- v3siia--- u--------,h
r-------- p-p---nd- n-s---nn- p-s---nn- v3spia--- u-------- v--pna--- p-p---na- l-p---na- p-s---mg- u--------,h
p1s---mn- d-------- v1spie--- p-s---fa- v--pna--- a-p---fg- n-p---fg- a-s---fa- u-------- c-------- p-s---mg- v1spie--- c-------- v--pne--- a-p---ng- u--------,h
l-s---mn- d-------- d-------- v-sppamn- p-p---na- v3siie--- u-------- v-sppamn- c-------- a-s---nn- p-s---md- r-------- p-p---ng- v3sasm--- a-s---nn- u-------- l-s---mn- c-------- v3siie--- p-p---nd- u--------,h
v2spma--- u-------- n-s---mv- u-------- c-------- d-------- v2spme--- d-------- a-s---mv- u-------- c-------- p-s---mg- v-sppemn- v1spsa--- n-s---ma- a-s---ma- u-------- c-------- n-s---fa- l-s---fa- a-s---fa- u-------- c-------- a-s---nn- p2s---md- r-------- p-s---fg- v3sasm--- n-s---nn- u--------,h
n-s---fa- d-------- p1s---mn- v1sfie--- d-------- c-------- d-------- v--ana--- p3s---fa- v-sappfa- r-------- p-s---mg- u--------,h
p1s---mn- d-------- p-s---ma- r-------- l-s---na- n-s---na- r-------- p-s---nd- v1ppse--- d-------- l-s---fg- v-sppefg- n-s---fg- v1sfia--- u--------,h
r-------- d-------- p1s---ma- v-sapama- v3sfim--- d-------- l-s---fn- n-s---fn- l-s---fn- a-s---fn- r-------- n-s---ma- u--------,h
v3spie--- d-------- r-------- l-s---fg- n-s---fg- n-s---mn- u--------,h
r-------- p-s---ma- l-p---ng- n-p---ng- r-------- n-s---na- a-s---na- v-sppafn- v3sfia--- u-------- c-------- r-------- n-s---fa- a-s---fa- v2sfim--- p-s---md- v--anm--- u--------,h
c-------- d-------- r-------- l-s---mg- n-s---mg- v2spse--- r-------- l-s---fa- n-s---fa- r-------- n-s---mg- c-------- p-s---fg- v2sasm--- u-------- p2s---md- v3spma--- l-s---na- d-------- c-------- d-------- p-s---ma- v3sasm--- v-sppama- r-------- n-p---fg- u--------,h
l-s---mn- d-------- d-------- c-------- d-------- v3siie--- v--ana--- u-------- v3siia--- a-s---mn- u--------,h
l-s---mn- d-------- n-s---mn- u-------- c-------- v3siia--- n-s---fn- l-s---fg- n-s---fg- v--pna--- u-------- v3saia--- l-s---ma- n-s---ma- r-------- l-s---na- n-s---na- u-------- c-------- r-------- p-p---na- d-------- v3siia--- d-------- l-s---fn- n-s---fn- u--------,h
v-sapafa- d-------- c-------- v-sppafa- l-p---na- n-p---na- v3siie--- l-s---mn- n-s---mn- u--------,h
c-------- d-------- r-------- n-s---mg- v3saim--- v-sppafg- l-s---fg- n-s---fg- r-------- l-s---fa- n-s---ma- u-------- v-sapamn- v3siia--- d-------- u-------- c-------- l-s---fn- n-s---fn- v3siia--- p3s---ma- v-sppama- u--------,h
v-sapafn- d-------- l-s---na- v-sappna- r-------- l-s---mg- n-s---mg- d-------- v3saia--- v-sappfn- c-------- v3saia--- v--ana--- u-------- r-------- n-s---md- v-sppafn- v--fnm--- l-s---ma- n-s---ma- u--------,h
r-------- d-------- l-p---md- n-p---md- u-------- d-------- d-------- c-------- r-------- l-p---md- a-p---md- a-p---md- d-------- n-s---ma- v--anp--- a-s---ma- r-------- n-s---fa- a-s---fa- v3spia--- u--------,h
d-------- d-------- d-------- d-------- p-s---na- v-sapafn- n-s---fa- v3siia--- u--------,h
c-------- d-------- n-s---fn- a-p---na- v3slia--- u-------- p-p---mg- n-p---mg- l-p---ma- d-------- v3siia--- a-p---ma- v-pppama- p-s---fd- u-------- a-p---ma- v-sapmfn- v3siia--- l-s---ma- n-s---ma- u--------,h
l-s---mn- d-------- p-s---na- v-sppamn- p-s---fa- l-p---ng- v-pappng- v--pne--- v3saia--- v-sfpmmn- u--------,h
v3slia--- d-------- d-------- d-------- u-------- c-------- l-s---fn- n-p---nn- v3spoa--- u-------- v--pna--- u--------,h
c-------- d-------- l-s---mn- n-s---mn- v3saim--- u-------- v3siia--- l-s---fn- n-s---fn- p-p---na- u--------,h
d-------- p-s---md- a-p---fg- n-p---fg- v-pppafg- n-s---mv- v1spia--- n-s---fa- u-------- a-s---fa- v2spie--- v--anm--- u--------,h
d-------- d-------- n-s---ma- v-sapamn- p1s---fa- d-------- c-------- l-s---fa- n-s---fa- v2spma--- l-s---fa- n-p---mg- u-------- c-------- a-s---ma- p-s---ma- d-------- d-------- v--pna--- v2spie--- u-------- c-------- d-------- d-------- a-p---na- v-sppemn- n-s---md- l-s---mg- a-s---mg- v2sasa--- l-p---na- d-------- p2s----a- v3siia--- u--------,h
d-------- d-------- p-s---ma- d-------- l-s---ma- p-p---na- v-sapama- v3siia--- v--pne--- u-------- c-------- p-s---ma- l-s---ma- p1s---ma- a-s---fa- v-sapema- c-------- v-sapama- d-------- v-pppena- u--------,h
l-s---mn- d-------- n-s---mn- d-------- d-------- v3siia--- l-p---na- v-pppenn- u-------- d-------- c-------- v3siia--- c-------- p3s---ma- n-s---fd- v--pna--- v--ana--- a-s---fa- n-s---fa- u--------,h
d-------- d-------- v3siia--- u-------- c-------- v3siia--- n-s---fa- d-------- v-srpefa- d-------- l-s---ma- n-s---ma- v--pna--- c-------- p-s---ma- r-------- p-p---mg- v--pne--- u--------,h
v3spie--- p-s---mn- v--pna--- u--------,h
v3siia--- d-------- v-sppamn- p-p---na- u--------,h
c-------- p1s---ma- v2spia--- n-s---ma- l-s---ma- a-s---ma- v--pna--- d-------- v-sppama- u-------- v2spma--- v1sfia--- a-s---md- d-------- n-s---md- v1pfia--- p-s---md- u--------,h
p-s---fn- d-------- v-sapafn- v3siia--- r-------- l-s---ng- a-s---ng- d-------- n-s---ng- l-s---fn- n-s---fn- v3sfim--- d-------- d-------- d-------- p-s---mn- p1s---fa- v3saim--- a-s---fa- u-------- v-sppemd- c-------- l-s---fn- n-s---fn- v3sfim--- u--------,h
c-------- d-------- v3paia--- l-s---fa- n-s---fa- u-------- n-s---fg- v-sapmfg- u-------- d-------- d-------- v3siie--- l-s---mn- n-s---mn- u-------- c-------- p-s---md- v3siia--- n-s---fn- a-s---fn- u-------- c-------- v3siia--- d-------- p-s---ma- v--rna--- c-------- n-s---ma- u-------- v3siie--- r-------- l-s---ma- n-s---ma- l-s---fd- n-s---fd- u-------- c-------- p3s---ma- p-s---fn- u-------- n-s---na- v-sapafn- u-------- v3spia--- r-------- l-s---fa- a-s---fa- n-s---fa- u--------,h
d-------- r-------- p-p---nn- v-sppemg- n-s---mg- v-sapamn- d-------- c-------- v-sapamn- p-s---ma- v3saia--- d-------- l-s---fa- n-s---fa- c-------- l-s---fa- n-s---fa- n-s---mn- p-s---mg- d-------- n-s---mn- l-s---mn- a-s---mn- r-------- l-s---ma- a-s---ma- n-s---ma- v-sapmmn- r-------- n-s---md- a-s---md- v3saip--- u--------,h
v3saia--- d-------- l-s---fa- n-s---fa- c-------- v3saip--- r-------- l-s---ng- r-------- n-p---md- n-s---ng- u--------,h
c-------- d-------- d-------- l-p---mn- n-p---mn- a-s---na- v3piie--- l-s---na- n-s---mg- n-s---na- c-------- r-------- n-p---nd- v3piia--- u-------- v3paia--- r-------- p-s---na- l-p---mn- d-------- l-s---mg- n-s---mg- n-p---mn- c-------- l-p---mn- a-p---mn- n-p---mn- u-------- c-------- d-------- l-s---nn- n-s---nn- v3sasa--- p3s---ma- n-s---ma- v--pna--- n-p---mg- u-------- l-s---ma- d-------- v--pna--- u-------- c-------- c-------- d-------- u-------- v--ana--- d-------- r-------- n-p---ma- l-s---fa- n-s---fa- u--------,h
v3saia--- d-------- d-------- l-s---nn- n-s---nn- c-------- v3saia--- d-------- n-s---mn- u--------,h
p-s---na- d-------- v3saia--- l-s---fn- n-s---fn- u-------- c-------- n-p---md- n-s---fn- v3sasa--- r-------- l-s---ma- a-s---ma- a-s---ma- n-s---mg- u--------,h
a-s---ng- l-s---ng- n-s---ng- n-p---mn- d-------- c-------- l-p---mn- n-p---mn- p-p---mg- n-s---ma- a-s---ma- v3piie--- u-------- c-------- d-------- v3saip--- u--------,h
l-s---fa- d-------- d-------- n-s---fa- d-------- v3paia--- l-p---mn- n-p---mn- l-p---ma- n-p---ma- v-papmmn- u-------- n-s---mn- c-------- v-sapamn- v3saia--- n-p---nn- r-------- n-p---ma- d-------- a-p---nn- u-------- c-------- a-p---nn- d-------- n-s---mg- n-p---nn- u-------- v3spia--- p-s---md- a-p---nn- r-------- n-p---md- u-------- r-------- c-------- l-s---mg- n-s---mg- n-s---ma- a-s---ma- v3saia--- a-s---ma- d-------- c-------- p-s---mg- d-------- n-s---fa- a-s---ma- v--pna--- v3spia--- u-------- n-p---mn- l-p---mn- n-s---na- m-------- a-p---mn- v3ppie--- u--------,h
v3pria--- d-------- p-p---mn- r-------- l-s---md- n-p---mg- n-s---md- u-------- n-s---ma- v-pppamn- m-------- n-p---na- u--------,h
a-s----d- d-------- n-s---md- v-sppemd- d-------- n-p---mg- l-s---mg- a-s---mg- v3spia--- l-s---mn- n-s---mn- u-------- c-------- n-s---mg- l-s---mg- n-s---mg- u--------,h
a-s---mn- d-------- l-s---mn- n-s---mn- a-s---mn- a-p---mg- p-p---mg- p-p---mn- v1pria--- r-------- n-p---ma- v3saia--- n-p---na- r-------- n-s---ma- l-s---ma- n-s---mg- n-s---fg- n-s---ma- u--------,h
v3saia--- d-------- d-------- d-------- n-s---mn- l-s---ma- a-s---ma- n-s---ma- r-------- p-s---ma- v-sppamn- v3siia--- u-------- v-sppama- a-s---ma- u--------,h
v3spie--- c-------- l-s---mn- n-s---mn- a-s---mn- d-------- d-------- l-p---mn- l-s---mg- n-s---mg- n-p---mn- u--------,h
l-s---mn- d-------- n-s---mn- a-s---mn- c-------- l-s---mn- n-s---mn- p-s---ma- l-s---mn- n-s---mn- v3saia--- u-------- r-------- n-p---mg- v3sfim--- --------- r-------- l-s---mg- v-sapamg- n-s---fa- u--------,h
v3saia--- d-------- d-------- n-s---fa- d-------- p-s---mn- c-------- v3saia--- r-------- d-------- n-s---fa- c-------- r-------- n-s---fa- u-------- c-------- n-s---mg- l-s---na- n-s---na- v3saia--- u--------,h
d-------- a-s---nn- d-------- a-s---nn- r-------- p-s---mg- a-s---nn- n-s---nn- v3saim--- v-sapamg- a-p---ng- v-pppana- m-------- n-p---na- u-------- p-s---ma- d-------- v1pfia--- p-p---na- v-pappmn- u-------- n-s---mg- c-------- l-s---mg- n-s---mg- r-------- n-s---ma- v-sapamg- n-s---fa- v1sasm--- u--------,h
p-s---mn- d-------- n-p---ma- d-------- v3saia--- r-------- n-s---fa- c-------- v3saia--- u-------- r-------- p-s---mg- d-------- v-sppamg- n-p---mg- n-p---mn- r-------- n-p---fg- r-------- n-p---mg- l-p---mg- n-p---mg- v-papamn- v3paim--- r-------- l-s---fa- n-s---fa- c-------- n-p---fa- r-------- l-s---fg- n-s---fg- v3paia--- u--------,h
n-s---mg- d-------- v-sapamg- n-s---mg- v-pppana- m-------- n-p---na- v3saim--- n-s---mn- l-s---mn- n-s---mg- u-------- c-------- v3saia--- n-p---na- a-------- u-------- n-s---mg- c-------- n-s---mn- u--------,h
p-s---mn- d-------- n-s---md- d-------- l-s---md- n-s---mg- a-s---md- v3saia--- c-------- n-p---md- u-------- n-p---ma- d-------- r-------- l-s---fg- n-s---fg- v3saia--- u-------- n-s---fa- d-------- l-s---fa- r-------- n-s---mg- v-sappfa- v3saia--- u-------- r-------- n-p---fa- c-------- v3saia--- u--------,h
r-------- d-------- d-------- p-p---mg- d-------- c-------- v3siia--- v3saia--- u-------- c-------- v-sapamn- d-------- u--------,h
a-p---na- d-------- n-p---na- v3saim--- v-sppamn- r-------- l-s---fd- n-s---fd- a-p---nas p-p---na- u--------,h
v3saia--- n-p---md- u-------- v-sapmmn- l-s---ma- n-s---ma- r-------- l-s---mg- n-s---mg- u--------,h
v-sppamn- d-------- v3siia--- l-s---fa- n-s---fa- n-s---md- a-s---md- u--------,h
c-------- d-------- v3siia--- r-------- l-s---fd- n-s---fd- n-s---mn- a-s---mn- u-------- d-------- v3siia--- l-s---fa- n-s---fa- u--------,h
v3siie--- d-------- r-------- n-p---fg- d-------- c-------- n-p---fg- c-------- n-s---mg- a-s---fg- d-------- c-------- a-s---fg- u--------,h
c-------- d-------- r-------- l-s---fa- n-s---fa- v3saom--- u-------- n-p---na- d-------- l-p---na- r-------- l-p---mg- n-p---mg- d-------- v3siia--- c-------- v3siia--- c-------- n-p---fa- v3siia--- u-------- v3siia--- c-------- r-------- n-s---fa- v--rna--- u--------,h
l-s---mn- d-------- l-p---na- d-------- n-p---na- c-------- l-s---ma- n-s---ma- l-s---ma- r-------- l-s---fd- n-s---fd- c-------- v3saoa--- u-------- v3siie--- d-------- u--------,h
l-s---fg- d-------- n-s---fg- l-p---mn- n-p---mn- v3piia--- u-------- c-------- n-s---fg- d-------- v--pna--- n-s---nn- l-s---fd- n-s---fd- u--------,h
l-p---fa- d-------- n-p---fa- d-------- v3siia--- l-s---mn- n-s---mn- p-p---ng- r-------- u-------- c-------- v3ppoa--- d-------- v-pppemn- l-s---fa- n-s---fa- v--pna--- d-------- c-------- v--pne--- l-p---mn- n-p---mn- u-------- p-s---mn- c-------- p-p---mg- v-pppemg- v3spoa--- p-s---na- d-------- v--pne--- v-sppamn- u--------,h
p-p---na- v-sppamn- v3siia--- n-p---na- m-------- u-------- r-------- p-p---nd- n-p---nn- a-d---fn- a-p---nn- n-p---mg- v3saim--- u-------- r-------- d-------- n-s----d- n-s---fg- l-s---fg- a-s---fg- v-papmmg- c-------- r-------- n-s---mg- n-s---nd- u--------,h
l-p---na- d-------- d-------- m-------- n-p---na- l-p---ng- m-------- n-s---mn- l-s---mn- n-s---mg- d-------- n-p---mg- v3siia--- u-------- l-s---mn- d-------- v-sppamn- d-------- r-------- l-s---fa- a-s---fa- l-s---fa- n-s---fa- u--------,h
n-s---mn- a-s---mn- d-------- d-------- l-s---mn- l-s---ma- n-s---ma- v3siia--- v-sapamn- u--------,h
l-p---na- d-------- m-------- l-p---ng- n-p---ng- l-p---na- v-pppena- l-p---nd- m-------- n-s---mn- l-s---mn- n-s---mg- v3siia--- u-------- p-s---mn- v-sapmmn- u-------- c-------- d-------- a-s---na- p1s---md- v3srip--- u-------- r-------- l-s---mg- n-s---mg- l-s---ma- n-s---ma- v3siia--- d-------- u--------,h
l-p---md- d-------- n-p---md- a-p---mn- n-p---mg- l-s---ma- n-s---ma- a-s---ma- v3siia--- c-------- d-------- n-p---mn- a-p---mn- u--------,h
