pos,label
p-s---md- g-------- d-------- n-p---md- r-------- n-p---fg- n-s---ma- v3piia--- v-prpemn- r-------- n-p---fd- n-p----g- u-------- p-p---ma- v3paia--- a-p---mn- u--------,o
n-p---mn- g-------- a-p---md- c-------- a-p---mn- n-p---mn- p-p---mn- g-------- n-s---ma- v3piia--- r-------- n-p---md- c-------- n-s---na- u-------- p-p---mn- g-------- d-------- n-p---md- a-p---md- n-s---fg- v3piia--- c-------- v3piia--- u-------- l-------- g-------- n-p---na- a-p---na- v3pii---- u--------,o
p-s---fa- g-------- a-s---nn- a-s---mn- v3saia--- n-s---mn- a-s---mn- u-------- v3sli---- g-------- r-------- n-p---md- a-s---na- v-srpemn- n-s---na- u-------- v-sppemn- n-s---ma- a-s---ma- r-------- n-p----d- u-------- c-------- g-------- v-sapamn- n-p---mg- l-------- g-------- n-s---fa- r-------- n-p---na- v3saoa--- u-------- n-s---fa- g-------- a-s---mn- v3spoa--- c-------- n-p---nd- p-p---nd- v3spoa--- u--------,o
p-p---na- v-sppamn- u-------- n-p---md- --------- u-------- v3saia--- n-s---fa- u--------,o
v3saia--- g-------- a-s---mn- n-s---ng- u-------- v3saip--- g-------- r-------- n-s---md- n-s---ma- d-------- n-p---fd- v--rna--- u--------,o
d-------- g-------- v-sapamn- n-s---fa- v3saia--- a-s---fa- c-------- v3sai---- a-s---na- n-s---na- u-------- c-------- p-s---fa- v-sapamn- n-p---na- a-p---na- v3siia--- u--------,o
u-------- v2spma--- u-------- n-s---mv- u-------- r-------- p-p---md- v2sfi---- u--------,o
g-------- d-------- n-s---ng- v-sap-mn- v2sfie--- p-s---ng- p-s----a- v3spia--- u-------- u--------,o
u-------- d-------- v-sapamn- v3siie--- u-------- p-s---fn- g-------- v3sai---- n-s---fn- n-s---fn- u--------,o
p-p---mn- g-------- c-------- g-------- --------- r-------- v3piia--- n-s---mg- a-s---mg- u-------- n-s---na- g-------- g-------- v3saia--- v-sppamn- r-------- n-s---fa- a-s---fa- n-s---fg- r-------- a-s---fg- u-------- d-------- g-------- a-p---nn- n-p---nn- n-s---mg- n-s---mg- v3siie--- a-p---nn- u-------- a-s---fa- g-------- r-------- n-s---ma- v3saia--- v-sppamn- u-------- r-------- n-s---ma- v-sapamn- u-------- a-s---ma- a-s---ma- u--------,o
r-------- g-------- n-s---fn- n-p---md- v3siia--- u--------,o
r-------- g-------- a-s---mn- n-s---ma- v3sai---- a-s---ma- u-------- r-------- a-p---mg- n-p---mg- u-------- c-------- n-s---mn- v-sappmn- n-s---md- n-s---nd- v3saoa--- u-------- a-p---md- v-sapamn- u-------- c-------- c-------- p-s---ma- r-------- n-s---mg- v-sppemg- v3sao---- u--------,o
n-s---fa- g-------- a-s---fn- n-s---fd- v3siia--- v-sppafn- a-s---fd- a-s---fd- u-------- r-------- a-s---mg- n-s---mg- u-------- v--anm--- u--------,o
r-------- g-------- a-s---fa- v3saia--- n-s---fa- u--------,o
n-s---ma- g-------- a-s---fn- n-s---fn- v3saia--- v-sppafn- u-------- n-p---na- a-p---na- v-sapafn- u-------- v-sppefn- v-pppamg- u--------,o
n-s---mn- g-------- n-p---ng- n-p---ma- v3saia--- v-sapamn- a-p---ng- u-------- r-------- g-------- p-p---md- v3siia--- a-p---na- n-p---na- u--------,o
n-s---mn- g-------- a-p---md- d-------- v3siie--- v-sppamn- u--------,o
r-------- g-------- v3paia--- n-p---mn- a-p---mn- u--------,o
l-------- g-------- d-------- d-------- v3piie--- r-------- n-p---ma- g-------- n-p---ma- g-------- u-------- p-p---md- g-------- n-p---mn- g-------- n-s---na- r-------- n-p---fa- v3paia--- u-------- n-s---ma- g-------- n-p---fn- v3piia--- r-------- n-p---nd- u-------- n-p---mn- g-------- n-p---ma- v3pai---- a-s---mg- u--------,o
p-p---mn- g-------- r-------- n-p---na- a-p---na- v-pppena- n-p---fa- v3piia--- u--------,o
g-------- c-------- n-s---fg- c-------- n-s---fg- r-------- n-s---ma- v3pai---- n-p---mn- u-------- p-p---md- g-------- r-------- n-p----d- a-d---fn- v3slia--- u-------- n-s---fn- g-------- n-s---fn- g-------- u--------,o
l-------- g-------- g-------- n-p---nn- n-s---fg- u--------,o
n-s---mn- g-------- r-------- n-p---fd- n-s---fa- a-s---fa- v3saia--- n-s---md- u-------- p-s---mn- g-------- v3siia--- r-------- n-p---md- n-s---fd- u--------,o
d-------- g-------- p-s---mn- v-sppamn- v3siie--- a-s---ma- v--pna--- u--------,o
g-------- n-s---mn- v3siia--- a-s---fa- n-s---fa- u-------- d-------- v-sapamn- n-s---fa- u-------- c-------- g-------- v3ppoe--- l-------- a-p---mn- u--------,o
u-------- n-s---mv- a-s---mv- u-------- d-------- c-------- p-s---md- v2sfi---- p-s---na- g-------- v1sasa--- u--------,o
a-p---md- g-------- a-p---nn- v3spia--- u-------- n-s---fn- c-------- n-s---fn- u-------- d-------- u-------- c-------- a-s---ma- n-s---ma- a-s---na- v3ppia--- u-------- n-s---mg- u-------- p-s---ng- g-------- d-------- n-p---nn- n-p---nn- v3spip--- n-s---md- v-prpenn- r-------- n-s---fg- u-------- c-------- r-------- n-s---fd- n-s---na- v3spia--- u--------,o
c-------- a-s---ma- g-------- d-------- v3pao---- v-sapama- u-------- a-p---mn- g-------- v3pao---- a-p---mnc n-p---ma- v--pna--- c-------- a-p---mnc n-s---mg- g-------- n-s---fg- g-------- u--------,o
d-------- g-------- p-s---mn- g-------- d-------- v3sria--- a-s---ma- n-s---ma- u-------- g-------- --------- p-s---fn- p-p---md- n-s---fn- u-------- c-------- g-------- p-s---mn- a-p---mg- n-p---mg- v3s-sa--- v--fn---- u--------,o
l-------- g-------- v3sai---- a-s---nn- n-s---nn- u--------,o
d-------- d-------- p-s---md- p-s---na- v2sama--- c-------- d-------- v2sama--- u--------,o
p-s---mn- d-------- v2spia--- n-p---mg- u--------,o
d-------- p-s----d- n-s---fn- c-------- n-p---mn- u--------,o
a-s---fg- g-------- r-------- n-s---fg- v2sai---- u--------,o
d-------- g-------- p-s----a- n-p---mn- v3paia--- r-------- n-s---fa- u--------,o
p-p---mn- v--pna--- v3piie--- u--------,o
d-------- g-------- g-------- p-s---na- p-s----a- a-s---ma- v1spie--- d-------- v--an---- u--------,o
c-------- p-s---md- a-s---na- v2sama--- a-s---na- u-------- c-------- d-------- v1srsa--- u-------- c-------- a-s---na- v2spia--- c-------- d-------- a-s---mn- v2spia--- n-s---mn- u-------- c-------- a-p---mn- v3piia--- n-p---mn- a-s---na- n-s---na- a-p---mn- u-------- c-------- d-------- a-s---mn- a-s---mn- v3siia--- n-p---mg- u-------- u--------,o
l-------- g-------- d-------- v3saia--- n-s---fn- u-------- a-s---fn- n-s---fn- u--------,o
u-------- g-------- p-s---mn- p-s----d- a-p---na- d-------- d-------- v1sfia--- u--------,o
n-s---mn- n-s---mg- a-s----g- v1spie--- v--pna--- n-s---mn- u-------- g-------- n-p---md- a-p---md- v1spia--- u--------,o
d-------- g-------- d-------- r-------- n-s---fd- v1saia--- c-------- n-p---md- v-sppamn- r-------- a-s---ma- n-s---ma- r-------- a-p---ma- n-p---ma- u-------- r-------- n-s---fa- r-------- n-s---ma- u-------- v1spia--- g-------- a-s---ma- n-s---ma- u--------,o
n-s---fn- g-------- p-s---md- p-s---fn- v3sria--- r-------- n-s---mg- r-------- n-s---fg- u-------- r-------- n-s---md- n-s---nd- r-------- n-s---nd- a-s---nd- u--------,o
n-p---mn- g-------- a-p---mg- a-p---mn- v1ppie--- v--pna--- r-------- n-s---fg- u-------- c-------- g-------- g-------- n-s---ma- v2spse--- v-sapamn- n-s---ma- n-s---ma- u-------- p-s---ma- d-------- v3ppia--- d-------- v--pne--- u-------- c-------- d-------- r-------- n-s---mg- n-p---na- v--pna--- n-s---fd- r-------- a-s---fd- u-------- p-s---fn- p-s---md- n-s---fa- g-------- n-s---fa- g-------- v3spia--- u-------- c-------- g-------- p-s---ma- n-s---mn- r-------- n-p---na- v3sasa--- v-sppama- r-------- n-s---ma- n-s---fg- a-s---fg- u--------,o
d-------- g-------- v1saia--- u--------,o
g-------- g-------- p-s---ma- v3pai---- a-s---ma- v--pna--- u-------- a-s---ma- n-s---ma- u--------,o
d-------- d-------- p-s---ma- g-------- n-p---mn- v3ppia--- n-s---fg- u--------,o
d-------- g-------- g-------- v3sria--- r-------- n-s---fd- a-s---mn- n-s---mn- u-------- c-------- d-------- d-------- a-s---mn- v3spie--- a-s---md- n-s---md- n-s---fd- r-------- a-s---fd- u-------- a-p---mn- g-------- p-s---ma- n-p---mn- v3ppia--- a-p---mn- u-------- p-p---mn- d-------- a-s---ma- v3ppia--- a-s---ma- u--------,o
g-------- d-------- p-s----d- p-s---mn- v1sfie--- u-------- c-------- r-------- n-s---md- a-p---mn- v3ppia--- c-------- c-------- v--fnm--- v1spia--- u-------- c-------- d-------- n-s---mn- v-sppamn- c-------- n-p---mg- d-------- v-srpamn- u--------,o
d-------- g-------- d-------- a-s---na- g-------- a-s---fg- r-------- n-s---fg- n-s---fg- v3sfi---- u-------- g-------- c-------- g-------- g-------- a-p---nn- n-p---nn- v3spsa--- u--------,o
v3sfim--- c-------- g-------- v3spse--- u-------- c-------- a-s---mn- v3spia--- u--------,o
d-------- d-------- p-s---md- p-s---na- v2sama--- c-------- d-------- v2sama--- u-------- c-------- g-------- r-------- a-s---mg- a-s---mn- n-s---mn- --------- n-s---mg- u--------,o
d-------- g-------- n-s---fa- g-------- c-------- n-p---na- a-p---na- v2sria--- a-s---md- u-------- c-------- d-------- d-------- v1piie--- a-p---md- u-------- c-------- g-------- p-s---ma- r-------- n-s---fa- v--ana--- u-------- d-------- g-------- a-p---mn- a-p---mg- l-------- a-p---mn- v3paia--- a-p---fd- r-------- n-p---fd- u--------,o
r-------- l-------- g-------- d-------- n-s---ma- p-s---mn- v1saia--- d-------- p-s---ma- a-s---mn- u-------- u--------,o
l-------- g-------- d-------- n-s---mn- v-srpemn- a-s---na- v3siia--- u--------,o
u-------- g-------- p-s---mn- p-s----d- u-------- n-s---mv- u-------- d-------- d-------- v1sfia--- u--------,o
n-s---fn- g-------- g-------- p-s---ma- v3spia--- l-------- v--pna--- u-------- g-------- p-s---mn- g-------- d-------- v1sria--- u--------,o
d-------- g-------- g-------- p-s---mn- a-s---ma- n-s---ma- a-s---mn- v3saia--- u--------,o
c-------- g-------- p-s---mn- g-------- v1saia--- a-s---mn- d-------- p-s----g- v--pna--- n-s---mn- n-s---mg- u-------- p-s---ma- n-p---nd- a-p---nd- r-------- n-s---nn- v3saia--- u--------,o
d-------- g-------- p-s---mn- a-s---mns v3sai---- a-p---mg- n-p---mg- u-------- l-------- p-s---fa- r-------- v3spia--- v--an---- u-------- c-------- p-s----n- p-s---ma- a-s---na- v2spia--- u-------- u--------,o
p-s---ma- g-------- d-------- v3saia--- n-s---fn- u-------- a-s---fn- n-s---fn- u--------,o
u-------- d-------- g-------- p-s----d- n-s---fa- g-------- n-p---mn- a-s---fa- d-------- v3paia--- u-------- c-------- p-s----a- g-------- a-s---ma- v3sai---- n-s---fn- u--------,o
d-------- d-------- p-s---md- p-s---na- v2sama--- c-------- d-------- v2sama--- u--------,o
p-s---fn- n-s---fn- u-------- p-s---mn- g-------- n-s---mn- p-s---mn- v3siie--- u--------,o
p-------- g-------- p-s----a- n-s---fn- u--------,o
n-s---fn- c-------- n-s---mn- u--------,o
c-------- d-------- n-s---mn- p-p---nn- g-------- v3spia--- u--------,o
d-------- g-------- p-s---fd- v-pppamn- d-------- v3ppia--- v--pne--- r-------- n-s---na- u--------,o
v3sao---- g-------- n-s---mn- n-p---na- a-p---na- v-sppamn- u-------- p-s---mn- p-s---mn- a-s---mn- g-------- v3saoa--- u-------- u--------,o
p-s---fa- g-------- d-------- n-s---mn- v-srpemn- a-s---na- v3siia--- u--------,o
u-------- n-s---mv- u-------- c-------- g-------- g-------- a-p---na- p-s---ma- v2spie--- c-------- v2spia--- u-------- v3siia--- g-------- g-------- n-s---mn- p-s---mn- a-s---mn- c-------- a-s---mn- v--pna--- u-------- c-------- d-------- a-s---mn- n-s---mn- a-s---mn- v3siia--- u--------,o
d-------- g-------- d-------- v3pii---- n-p---mn- a-p---na- v-pppamn- u-------- p-p---mn- a-s---ma- g-------- a-s---ma- v3paia--- r-------- a-p---mg- n-p---mg- u-------- c-------- d-------- g-------- v-sapamd- g-------- d-------- v1sao---- u-------- c-------- r-------- p-p---md- n-p---md- v3saip--- n-p----g- r-------- n-s---md- u-------- c-------- a-p---mg- r-------- n-p---fd- u-------- c-------- n-s---ma- v3saia--- u--------,o
d-------- g-------- p-s---md- n-s---ma- g-------- v3paia--- n-p---mn- u-------- c-------- g-------- c-------- p-s---md- n-s---md- a-s---na- n-s---na- v3saim--- d-------- u--------,o
d-------- g-------- p-s---ma- d-------- n-p---fn- v3pai---- u--------,o
v3siie--- a-s---mn- a-s---mn- u-------- p-s---md- g-------- n-p---fa- g-------- n-p---ma- g-------- v3saia--- u--------,o
g-------- g-------- d-------- a-s---ma- v-sppemn- v1spia--- a-s---ma- u-------- c-------- d-------- p-s---md- a-p---na- n-p---mn- a-p---na- n-p---na- v3paia--- u--------,o
a-p---mn- g-------- n-p---fd- v3ppia--- a-p---mn- u-------- --------- g-------- n-s---fd- g-------- c-------- a-s---md- n-s---fd- u-------- c-------- a-p---mn- a-s---fa- n-s---fa- r-------- v3ppia--- u-------- a-p---mn- n-s---fa- a-s---fa- v3ppie--- u-------- v3ppia--- g-------- n-s---ma- u--------,o
l-------- g-------- d-------- v3spie--- a-s---ma- n-s---ma- d-------- n-s---fa- v--ana--- v3spie--- u--------,o
p-p---mn- g-------- v3ppia--- v-pppamn- n-s---ma- a-s---ma- u--------,o
d-------- g-------- p-s---ma- v3pfia--- d-------- a-s---ma- u-------- u--------,o
p-s---ma- g-------- v-sapafn- v3siia--- n-s---fn- n-s---fn- u--------,o
u-------- i-------- i-------- u-------- d-------- g-------- a-s---na- v-sppemg- n-s---mg- v2spie--- u-------- p-s---mn- g-------- n-p---md- a-p---md- n-p---fa- v3saoa--- u--------,o
c-------- g-------- d-------- v-sapamn- n-s---mg- r-------- a-p---fd- n-p---fd- v3saoa--- u-------- v-sppamn- n-s---fa- c-------- n-s---fa- c-------- m-------- n-d---na- u-------- a-s---mn- v-sppamn- a-s---ma- p-s---ma- p-s---mn- l-------- a-p---na- v1saia--- n-s---md- r-------- a-s---md- v-sppama- g-------- v-sppema- g-------- u-------- r-------- n-s---fg- v-sppama- r-------- n-s---mg- n-s---mg- u-------- v3siie--- g-------- d-------- d-------- a-s---fg- r-------- n-s---fg- n-s---mn- n-s---na- a-s---na- v-sppemn- u-------- c-------- p-s---md- v3spoa--- n-p---ma- v--pne--- a-p---ma- u--------,o
c-------- l-------- g-------- d-------- p-s---md- v3saia--- u-------- c-------- g-------- n-p---ma- v3siie--- d-------- v-pppama- u-------- c-------- n-s---mn- p-s---md- v3saia--- a-s---mn- u--------,o
v3siia--- g-------- d-------- u-------- a-s---mn- v-sppamn- n-p---md- v3saoa--- n-s---mn- u--------,o
a-p---mn- g-------- a-p---mn- g-------- v3pao---- a-p---mn- g-------- u--------,o
d-------- d-------- g-------- g-------- a-p---nn- n-p---mg- r-------- n-p---nd- v3spie--- u-------- c-------- g-------- v-sapamn- v3sfi---- u-------- c-------- c-------- d-------- u-------- p-p---nd- r-------- n-p---nd- u--------,o
p-s----a- g-------- v--pne--- v1sria--- u-------- c-------- g-------- n-p---ma- v2sfi---- r-------- n-s---ng- u--------,o
c-------- g-------- d-------- d-------- v2spma--- c-------- a-p---mg- v2spme--- n-p---mg- u--------,o
d-------- r-------- n-s---fa- v-sapamn- n-p---ma- a-p---ma- n-s---ma- v3saia--- a-p---md- u-------- n-p---mn- g-------- r-------- n-p---mn- v3ppma--- u--------,o
n-p---ma- g-------- r-------- a-p---na- v--pne--- v2srma--- u-------- n-s---fa- g-------- u-------- c-------- p-s---fd- n-s---mn- v3spie--- v--pne--- u-------- d-------- v3spma--- r-------- n-s---na- n-s---mg- a-s---na- v-sppemg- u--------,o
l-------- g-------- n-s---ma- v3pfia--- c-------- v3pfia--- n-p---na- a-p---na- d-------- u-------- a-p---na- v3sria--- a-s---fg- r-------- n-s---fg- v--pne--- u--------,o
p-s----d- g-------- a-s---md- d-------- v1sfi---- u-------- c-------- g-------- v2sase--- u--------,o
n-s---fa- v-sapamn- n-p---md- m-------- u-------- p-s---fn- p-s---fn- a-s---fn- u-------- v2spme--- v-sfp-mn- n-s---mg- d-------- v-sppemg- u-------- c-------- p-s---mn- p-s----d- v3sasa--- n-p---mg- u-------- c-------- n-s---fa- v2sasa--- r-------- n-s---mg- u-------- p-s---fn- g-------- d-------- v3spia--- n-s---na- n-p---md- u--------,o
a-p---na- g-------- r-------- n-s---ma- v2sama--- c-------- v2spme--- n-s---ma- a-s---ma- u-------- d-------- g-------- d-------- r-------- a-s---ma- n-s---ma- u--------,o
p-s---mn- g-------- a-s---mn- v3saia--- a-p---mg- a-p---mg- u--------,o
c-------- g-------- g-------- n-s---mg- n-s---ma- c-------- n-s---ma- v2sasa--- u-------- d-------- g-------- g-------- v-sppemn- g-------- d-------- v2saoa--- n-s---ma- u--------,o
c-------- g-------- g-------- v-srpamg- v2sasa--- g-------- d-------- v-sppamg- u-------- v-sapamn- g-------- d-------- a-s---fa- r-------- n-s---fa- n-s---fa- n-s---na- g-------- p-s---md- v--ana--- c-------- r-------- n-p---nv- v--ana--- a-p---na- d-------- u-------- a-p---nn- v3sria--- u-------- c-------- n-s---md- n-s---fa- v--ana--- u--------,o
g-------- c-------- g-------- a-p---na- v2sasa--- g-------- c-------- v2sasa--- u-------- v--pne--- g-------- d-------- r-------- n-s---fa- c-------- r-------- n-s---ma- c-------- g-------- n-p---ma- r-------- n-p---nd- a-p---nd- v2spsa--- c-------- n-s---md- c-------- d-------- u--------,o
g-------- --------- d-------- p-s----a- v3spia--- n-p---fa- v--pna--- u-------- c-------- d-------- a-s---mn- v2spia--- u--------,o
